from_position,to_position,expected_distance_um,actual_distance_um,difference_um,feed
"(-7.000000000,0.000000000)","(0.001000000,0.000000000)",1.0,2.947063171070284,1.9470631710702841,50.0
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1.0,1.3242024965505383,0.32420249655053834,50.0
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1.0,0.9471770879675141,-0.0528229120324859,50.0
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1.0,1.716676845021542,0.7166768450215419,50.0
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1.0,2.948005388172818,1.948005388172818,50.0
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1.0,2.1853585354504927,1.1853585354504927,50.0
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1.0,1.9705077073768327,0.9705077073768327,50.0
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1.0,2.121842257667226,1.1218422576672258,50.0
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848988597778,2.44425217800624,1.4444031894084621,50.0
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848988597778,2.787920684691484,1.7880716960937062,50.0
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848988597778,2.839523164210819,1.839674175613041,50.0
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848988597778,2.3889502208064464,1.3891012322086684,50.0
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848988597778,2.3900118140439948,1.3901628254462168,50.0
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848988597778,1.8244685405154637,0.8246195519176857,50.0
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848988597778,1.9105346269975243,0.9106856383997463,50.0
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848988597778,2.6567183899309117,1.6568694013331338,50.0
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1.0,2.0795372049690215,1.0795372049690215,50.0
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848988597778,1.6147712548717692,0.6149222662739912,50.0
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848988597778,1.6236623764762652,0.6238133878784872,50.0
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848988597778,1.3752214678090418,0.3753724792112637,50.0
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848988597778,2.5575105965266887,1.5576616079289107,50.0
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1.0,2.817351193626542,1.8173511936265418,50.0
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848988597778,2.089544068298425,1.0896950797006473,50.0
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1.0,2.267345485517863,1.267345485517863,50.0
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1.0,2.926327533189194,1.9263275331891938,50.0
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848988597778,3.7118213340898882,2.7119723454921103,50.0
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.5860000000000001,3.6556368127965806,3.0696368127965803,50.0
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1.0,1.0740254000031686,0.0740254000031686,50.0
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1.0,3.741319851790257,2.741319851790257,50.0
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1.0,2.645476015227801,1.6454760152278012,50.0
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1.0,2.3328503925963324,1.3328503925963324,50.0
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1.0,3.067956399728294,2.067956399728294,50.0
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1.0,2.592969213035391,1.5929692130353912,50.0
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1.0,2.9387258599063486,1.9387258599063486,50.0
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1.0,2.2945781949914843,1.2945781949914843,50.0
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848988597778,2.2743586900432766,1.2745097014454987,50.0
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848988597778,2.4222354661990937,1.4223864776013158,50.0
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848988597778,2.625666319540536,1.6258173309427582,50.0
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848988597778,2.785161922332548,1.7853129337347702,50.0
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848988597778,2.889686241203258,1.88983725260548,50.0
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848988597778,1.6559076607487198,0.6560586721509417,50.0
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848988597778,1.7009707454572878,0.7011217568595097,50.0
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848988597778,2.740880272530374,1.741031283932596,50.0
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1.0,2.3349392990448896,1.3349392990448896,50.0
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848988597778,3.987248523524077,2.987399534926299,50.0
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848988597778,4.057203926046145,3.057354937448367,50.0
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848988597778,2.623864132249701,1.6240151436519232,50.0
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848988597778,2.132863140674342,1.133014152076564,50.0
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1.0,1.5465024812694617,0.5465024812694617,50.0
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848988597778,3.25646773912796,2.256618750530182,50.0
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1.0,2.448976855389509,1.448976855389509,50.0
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1.0,1.9910767093215267,0.9910767093215267,50.0
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848988597778,2.5913641288296123,1.5915151402318344,50.0
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.5860000000000001,2.6849659774450645,2.098965977445064,50.0
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10.0,4.9918995696828,-5.0081004303172,50.0
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10.0,6.342517195485103,-3.6574828045148973,50.0
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10.0,4.839707671261736,-5.160292328738264,50.0
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10.0,5.65183821670783,-4.34816178329217,50.0
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10.0,11.770742786372628,1.7707427863726277,50.0
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10.0,11.06473170097292,1.0647317009729207,50.0
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10.0,11.852541255166015,1.852541255166015,50.0
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10.0,11.662962554288454,1.6629625542884536,50.0
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.999904099540155,9.282971674012066,-0.7169324255280891,50.0
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.999904099540155,7.9562479547443115,-2.0436561447958432,50.0
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.999904099540155,8.613666521106184,-1.3862375784339704,50.0
